id,Observation1,Observation2,Observation3,Observation4,Observation5,Observation6,Observation7,Observation8
Feature05222,58,49,61,57,220,229,302,322
Feature05223,199,206,358,326,674,622,1323,1124
Feature05224,8,3,6,12,21,10,48,35
Feature05225,69,71,117,128,266,136,584,408
Feature05226,0,1,0,0,0,1,2,5
Feature05227,749,571,667,661,2442,2660,3233,3525
Feature05228,165,106,131,159,723,616,1198,1288
Feature05229,9,10,16,10,19,25,41,35
Feature05230,9,9,7,9,24,33,34,44
Feature05231,40,61,74,66,148,158,227,185
Feature05232,0,0,0,0,0,0,0,0
Feature05233,49,38,43,52,163,138,173,201
Feature05234,99,85,87,89,291,287,497,404
Feature05235,437,328,337,393,1502,1482,1717,1824
Feature05236,56,76,15,21,218,235,63,78
Feature05237,1937,1783,1078,1069,5433,5435,4555,4352
Feature05238,204,180,146,126,566,602,608,533
Feature05239,158,123,152,184,520,517,825,830
Feature05240,112,89,242,327,384,287,1390,1194
Feature05241,0,0,3,2,3,2,8,3
Feature05242,578,349,165,184,1732,1817,916,1149
Feature05243,170,177,177,189,441,460,643,657
Feature05244,188,224,102,99,636,778,510,542
Feature05245,3607,3485,5539,5907,12988,9773,18653,17883
Feature05246,715,566,642,612,2525,2605,3239,3422
Feature05247,62,44,26,10,170,200,54,107
Feature05248,16,10,8,22,40,46,83,95
Feature05249,0,0,0,0,0,0,0,0
Feature05250,299,254,266,294,940,1018,1152,1230
Feature05251,44,39,48,52,124,148,213,236
Feature05252,183,161,161,191,709,668,884,1001
Feature05253,0,0,0,0,0,0,0,0
Feature05254,706,648,1429,1436,2477,2286,7945,6242
Feature05255,37,45,43,47,99,109,220,164
Feature05256,78,69,67,47,315,278,262,282
Feature05257,35,34,46,50,77,96,145,133
Feature05258,0,0,0,0,0,0,0,0
Feature05259,180,149,326,504,741,423,2168,1769
Feature05260,211,165,262,277,837,731,1344,1303
Feature05261,133,143,221,236,310,281,737,513
Feature05262,0,1,1,0,13,4,6,7
Feature05263,442,395,678,745,1720,1524,2664,3109
Feature05264,0,1,0,0,0,0,1,2
Feature05265,13,14,18,28,54,50,92,96
Feature05266,478,431,347,340,1709,1792,1789,1756
Feature05267,149,110,142,155,516,420,631,676
Feature05268,216,191,323,300,531,616,1142,916
Feature05269,328,262,177,141,1054,1104,941,975
Feature05270,0,0,0,0,0,0,0,0
Feature05271,0,1,0,1,1,1,5,2
Feature05272,10,10,5,5,21,26,13,18
Feature05273,177,189,230,217,472,516,834,792
Feature05274,669,568,689,646,2186,2165,3225,3478
Feature05275,5,3,8,4,13,10,25,13
Feature05276,588,474,2286,2620,1666,1007,14263,8948
Feature05277,282,216,606,762,947,789,2591,2176
Feature05278,65,40,134,148,262,171,1355,887
Feature05279,34,36,22,21,170,139,208,196
Feature05280,178,142,160,198,728,795,709,747
Feature05281,0,0,0,0,0,0,0,0
Feature05282,0,0,0,0,0,0,0,0
Feature05283,127,119,72,78,274,312,296,271
Feature05284,63,44,75,88,196,175,458,375
Feature05285,201,188,437,487,693,629,1610,1672
Feature05286,0,0,0,2,0,2,2,4
Feature05287,0,0,0,0,0,0,0,0
Feature05288,17,17,27,39,64,57,144,118
Feature05289,97,68,99,87,284,186,439,365
Feature05290,0,0,0,0,0,0,1,0
Feature05291,68,58,110,87,316,256,516,463
Feature05292,2,2,3,0,13,3,5,6
Feature05293,72,52,54,40,265,275,237,246
Feature05294,1,2,9,4,2,4,147,38
Feature05295,120,81,104,134,424,468,601,628
Feature05296,427,392,354,333,1535,1610,1647,1671
Feature05297,225,156,193,194,707,677,773,787
Feature05298,28,23,38,43,105,82,132,162
Feature05299,229,192,158,165,669,753,839,920
Feature05300,0,0,0,0,0,0,0,0
Feature05301,47905,37478,13062,12421,173551,183483,80198,104709
Feature05302,0,0,0,0,0,0,0,0
Feature05303,282,237,239,253,860,921,1288,1413
Feature05304,0,0,1,0,0,0,0,0
Feature05305,496,397,434,414,1495,1428,1808,1711
Feature05306,0,0,0,0,0,0,0,0
Feature05307,124,96,65,53,380,429,288,360
Feature05308,65,54,81,99,187,199,370,383
Feature05309,504,489,483,476,1342,1400,1852,1471
Feature05310,49,39,42,56,90,117,207,145
Feature05311,6,3,14,16,27,26,119,118
Feature05312,1,0,3,1,3,7,5,4
Feature05313,39,33,101,103,160,146,520,526
Feature05314,0,0,0,0,0,0,0,0
Feature05315,1929,1849,1695,1689,5546,5697,7112,6468
Feature05316,1068,1134,989,937,2858,3087,3531,3214
Feature05317,446,339,232,206,1300,1467,1053,1262
Feature05318,235,195,294,340,609,688,1045,1025
Feature05319,116,112,161,174,340,316,558,570
Feature05320,213,134,463,667,780,535,2839,2589
Feature05321,47,46,58,68,143,169,257,235
Feature05322,70,74,106,101,272,210,469,407
Feature05323,952,866,1033,1061,3074,3137,4413,4338
Feature05324,0,0,0,0,0,0,0,0
Feature05325,163,141,100,85,496,441,419,443
Feature05326,439,417,419,460,1403,1696,1982,2060
Feature05327,19,13,19,22,33,26,169,138
Feature05328,11,14,19,13,35,32,44,43
Feature05329,535,429,585,657,1832,1738,2860,2903
Feature05330,88,67,27,47,224,221,182,184
Feature05331,17,8,39,48,30,36,131,109
Feature05332,58,76,114,101,226,249,390,296
Feature05333,171,135,138,147,541,498,737,753
Feature05334,20,20,10,9,74,64,24,30
Feature05335,1,1,0,1,5,10,0,3
Feature05336,214,175,215,233,634,698,932,911
Feature05337,81,65,95,106,158,243,332,305
Feature05338,114,104,147,154,430,437,583,625
Feature05339,31,19,30,48,89,87,195,75
Feature05340,1238,979,756,817,4727,4666,4077,4696
Feature05341,324,311,365,411,1164,1046,1434,1358
Feature05342,290,292,375,431,720,792,1282,1040
Feature05343,277,217,145,134,975,1136,812,1132
Feature05344,218,220,248,214,487,544,862,704
Feature05345,29,30,42,51,79,67,207,182
Feature05346,6,4,12,8,16,25,25,17
Feature05347,0,0,1,3,1,4,6,4
Feature05348,0,0,0,0,0,0,0,0
Feature05349,422,346,301,345,1435,1512,1378,1640
Feature05350,0,0,0,0,0,0,0,0
Feature05351,239,185,77,52,673,671,374,428
Feature05352,0,0,0,0,1,1,0,2
Feature05353,485,358,293,321,1385,1568,1388,1596
Feature05354,412,268,458,478,1322,1286,2137,2322
Feature05355,0,0,0,0,0,0,0,0
Feature05356,49,45,82,93,189,171,405,371
Feature05357,236,180,1854,3104,975,632,9398,5215
Feature05358,0,0,0,0,0,0,0,0
Feature05359,5,2,2,1,14,16,11,13
Feature05360,268,252,289,293,1062,958,1778,2330
Feature05361,0,0,0,0,0,0,0,0
Feature05362,0,0,1,0,0,0,3,1
Feature05363,710,643,926,988,2428,2314,3994,4184
Feature05364,11,6,27,34,31,17,162,59
Feature05365,54,41,45,41,145,163,182,173
Feature05366,299,227,461,640,1158,1011,2404,2337
Feature05367,1622,1226,841,901,5276,5712,4427,4983
Feature05368,1112,842,366,318,4393,4509,2391,2899
Feature05369,15,22,9,5,57,63,39,46
Feature05370,145,113,31,38,386,504,133,177
Feature05371,0,0,0,0,1,0,0,4
Feature05372,22,22,18,14,37,65,70,68
Feature05373,3,8,6,3,15,14,12,12
Feature05374,3,4,6,6,10,16,39,22
Feature05375,0,0,0,0,0,0,0,1
Feature05376,131,118,251,303,518,432,1189,1095
Feature05377,439,357,390,400,1494,1455,1985,2094
Feature05378,15,8,19,13,33,29,49,25
Feature05379,0,0,0,2,1,0,5,6
Feature05380,0,0,0,0,0,1,3,2
Feature05381,251,214,227,275,783,834,996,1072
Feature05382,626,589,416,497,2095,1908,2139,2283
Feature05383,26,29,83,91,213,62,846,229
Feature05384,39,30,37,45,106,129,225,156
Feature05385,53,29,47,43,132,112,205,139
Feature05386,37,23,21,21,102,76,101,93
Feature05387,398,297,171,191,1365,1434,1046,1319
Feature05388,230,193,124,130,816,907,545,640
Feature05389,60,46,78,65,188,186,310,295
Feature05390,24,27,51,43,102,86,140,113
Feature05391,96,71,123,122,410,345,490,576
Feature05392,1,1,1,0,7,2,3,4
Feature05393,41,43,39,53,131,150,206,170
Feature05394,92,90,131,125,405,369,686,657
Feature05395,356,309,311,331,1114,1085,1572,1510
Feature05396,1,0,1,0,0,2,14,6
Feature05397,0,0,0,0,0,0,1,0
Feature05398,160,117,116,115,535,506,846,801
Feature05399,113,103,143,156,339,364,783,591
Feature05400,208,199,286,294,579,656,1194,1101
Feature05401,65,64,85,123,184,211,371,423
Feature05402,0,0,0,0,0,0,0,1
Feature05403,580,419,460,547,2102,2145,2488,2663
Feature05404,65,43,61,60,196,216,263,293
Feature05405,193,132,78,75,723,737,491,598
Feature05406,5,3,5,8,12,11,20,18
Feature05407,48,39,71,71,156,135,333,341
Feature05408,80,67,95,83,246,221,353,386
Feature05409,114,106,191,222,389,324,754,582
Feature05410,0,0,0,0,0,0,0,0
Feature05411,1,0,0,0,1,0,3,1
Feature05412,1,0,20,15,5,3,118,99
Feature05413,353,353,361,386,1216,1141,1710,1680
Feature05414,0,0,0,0,0,0,0,0
Feature05415,14,10,16,16,42,53,75,69
Feature05416,106,98,152,159,300,277,578,575
Feature05417,40,31,7,10,93,87,37,56
Feature05418,9911,8808,5195,4890,35900,38851,29761,31487
Feature05419,4,2,15,8,17,20,42,33
Feature05420,683,551,785,832,1938,1784,3061,2911
Feature05421,588,469,272,297,1733,1826,1470,1595
Feature05422,432,433,634,656,1250,1183,2550,2221
Feature05423,59,55,91,87,250,192,433,415
Feature05424,8,2,6,3,21,28,23,19
Feature05425,0,1,0,0,1,1,1,1
Feature05426,79,74,83,86,231,200,331,328
Feature05427,14,22,89,97,51,37,440,345
Feature05428,20,11,23,15,89,101,145,130
Feature05429,37,25,69,65,130,102,354,346
Feature05430,2683,2249,5119,5576,9152,8556,21979,21158
Feature05431,58,58,32,35,158,177,186,162
Feature05432,2,6,8,15,10,10,48,44
Feature05433,1,2,3,2,7,7,22,18
Feature05434,57,55,8,16,180,193,78,80
Feature05435,468,331,597,722,1696,1322,2994,3234
Feature05436,467,309,304,282,1626,1546,1693,1863
Feature05437,0,0,0,0,0,0,0,0
Feature05438,52,49,26,39,206,157,200,159
Feature05439,6,6,7,2,28,26,39,32
Feature05440,121,102,134,139,403,363,527,568
Feature05441,48,25,42,37,127,125,189,181
Feature05442,0,0,0,0,0,0,0,0
Feature05443,50,47,142,129,145,125,515,517
Feature05444,10,8,7,14,46,31,51,53
Feature05445,1590,1372,928,1074,6236,6007,5058,5843
Feature05446,3,6,5,8,7,13,29,26
Feature05447,427,387,502,557,1636,1575,2717,2683
Feature05448,66,60,83,81,223,198,580,411
Feature05449,264,215,56,70,822,789,388,512
Feature05450,409,319,366,446,1401,1267,1738,1949
Feature05451,1,0,0,0,1,4,2,2
Feature05452,0,0,0,0,0,0,0,2
Feature05453,0,0,0,0,2,2,0,0
Feature05454,17,7,15,9,53,49,45,44
Feature05455,65,65,86,63,228,224,290,325
Feature05456,0,0,0,1,0,1,1,2
Feature05457,23,30,50,44,135,117,202,146
Feature05458,625,591,616,675,2272,2050,3105,3094
Feature05459,24,25,33,30,77,90,136,122
Feature05460,21,15,16,17,50,45,125,102
Feature05461,0,0,0,0,0,0,0,0
Feature05462,0,0,1,1,0,0,0,2
Feature05463,41,31,29,29,178,160,140,153
Feature05464,132,115,228,277,610,537,1282,1224
Feature05465,55,49,42,29,194,251,189,277
Feature05466,1745,1606,1563,1486,6674,6532,8411,8672
Feature05467,85,66,56,53,425,392,402,477
Feature05468,224,184,358,380,694,682,1444,1299
Feature05469,153,123,157,156,500,511,807,731
Feature05470,1,1,1,0,1,5,3,0
Feature05471,0,0,0,0,1,1,0,0
Feature05472,7,8,16,24,32,26,188,94
Feature05473,529,530,499,477,1753,1793,2159,2123
Feature05474,123,113,84,97,396,467,483,511
Feature05475,514,505,286,272,1329,1378,1335,1313
Feature05476,8,4,14,21,32,19,85,64
Feature05477,74,52,48,38,188,217,195,216
Feature05478,285,224,292,296,840,820,1055,1184
Feature05479,0,0,0,0,0,0,0,0
Feature05480,0,0,1,0,0,0,0,0
Feature05481,61,68,120,147,224,156,522,443
Feature05482,193,122,158,147,628,619,883,1110
Feature05483,121,91,259,348,556,490,2336,1970
Feature05484,139,124,176,194,461,556,655,747
Feature05485,113,111,108,90,562,564,672,600
Feature05486,1359,1196,1028,1132,4135,3974,5143,5294
Feature05487,2,1,1,0,3,3,9,9
Feature05488,0,0,0,0,0,0,1,3
Feature05489,25,11,7,8,71,59,60,81
Feature05490,2281,1775,1036,988,8934,8668,5392,6231
Feature05491,130,146,155,133,426,420,565,484
Feature05492,77,83,55,50,309,351,392,366
Feature05493,91,85,58,66,377,257,416,327
Feature05494,20,19,12,16,83,75,102,108
Feature05495,520,407,313,359,1913,1838,1636,1959
Feature05496,420,354,267,310,1771,1703,1980,1987
Feature05497,639,587,614,746,2253,2110,3378,3533
Feature05498,0,0,6,4,6,3,4,6
Feature05499,50,62,65,66,129,138,186,165
Feature05500,132,108,170,187,469,466,724,798
Feature05501,0,0,0,1,2,1,8,8
Feature05502,395,373,339,370,1424,1393,1391,1366
Feature05503,0,1,2,1,4,2,13,19
Feature05504,0,0,0,0,0,0,0,0
Feature05505,84,80,65,75,297,312,392,329
Feature05506,60,48,88,89,157,183,254,272
Feature05507,780,759,951,870,2367,2349,3475,3399
Feature05508,6,2,2,5,11,12,12,15
Feature05509,0,0,0,0,0,0,0,0
Feature05510,2,1,0,0,0,2,0,1
Feature05511,119,100,74,82,400,412,476,453
Feature05512,1246,892,1070,885,4135,4205,4408,4661
Feature05513,813,723,1216,1303,3429,3223,7798,6941
Feature05514,916,840,1185,1286,3179,2967,5451,5320
Feature05515,658,572,486,494,2166,2464,2225,2532
Feature05516,0,0,0,0,0,0,0,0
Feature05517,0,1,3,1,0,6,10,3
Feature05518,0,0,1,7,7,3,15,16
Feature05519,99,82,193,245,279,296,678,626
Feature05520,461,440,357,363,1481,1547,1709,1627
Feature05521,132,94,116,131,457,444,618,548
Feature05522,399,430,270,232,1168,1301,1083,1067
Feature05523,793,786,617,597,2448,2734,2902,2734
Feature05524,0,2,4,7,4,4,24,31
Feature05525,58,61,50,50,204,245,294,353
Feature05526,685,599,361,366,1759,2124,1550,1545
Feature05527,0,0,0,0,0,0,0,0
Feature05528,1163,1004,1270,1173,3706,3806,6131,6369
Feature05529,657,525,688,809,2197,2245,3587,3748
Feature05530,624,543,1133,1243,2275,1910,6333,5435
Feature05531,1,1,7,10,6,3,24,12
Feature05532,981,923,762,725,3322,3406,3470,3731
Feature05533,121,84,173,180,302,308,615,603
Feature05534,1355,1158,1900,2146,4019,3913,7360,7012
Feature05535,57,37,79,74,189,191,371,388
Feature05536,121,131,149,180,363,376,653,556
Feature05537,2,2,0,1,2,5,2,1
Feature05538,9,9,3,2,37,28,26,29
Feature05539,532,378,561,572,1631,1532,2339,2294
Feature05540,578,518,926,1033,1691,1477,3716,3092
Feature05541,735,594,1198,1415,2651,2583,6107,6435
Feature05542,266,229,133,131,763,738,717,852
Feature05543,0,0,0,0,0,0,0,0
Feature05544,21,21,22,29,74,63,89,78
Feature05545,72,61,54,50,219,209,247,261
Feature05546,1,0,0,1,6,4,8,11
Feature05547,2,3,3,8,8,18,15,18
Feature05548,70,71,102,97,234,215,381,336
Feature05549,0,0,0,0,0,0,0,0
Feature05550,0,0,0,0,0,0,0,0
Feature05551,17,11,28,37,51,44,109,82
Feature05552,43,34,61,78,157,116,326,393
Feature05553,0,0,0,0,0,0,0,0
Feature05554,21,23,27,22,57,73,127,93
Feature05555,0,0,0,0,0,0,0,0
Feature05556,157,120,201,191,549,549,778,845
Feature05557,32,33,12,14,176,200,96,108
Feature05558,0,0,0,0,0,0,0,0
Feature05559,138,127,164,127,370,372,515,470
Feature05560,3,1,7,6,20,19,26,10
Feature05561,42,31,23,41,109,79,163,153
Feature05562,0,0,0,0,0,0,0,0
Feature05563,1,1,2,9,16,10,8,17
Feature05564,528,428,705,808,1565,1361,2619,2369
Feature05565,3,5,2,4,4,5,14,6
Feature05566,249,241,267,290,734,745,1142,1003
Feature05567,3,2,16,11,19,16,115,140
Feature05568,23,24,12,21,74,130,159,163
Feature05569,478,480,315,310,1692,1882,1586,1712
Feature05570,111,106,133,149,340,361,602,483
Feature05571,16,4,31,32,82,45,215,201
Feature05572,1,1,12,25,5,4,40,37
Feature05573,107,100,97,106,265,286,337,325
Feature05574,30,31,48,27,96,102,116,102
Feature05575,995,826,819,849,3576,3695,3756,4291
Feature05576,0,0,0,0,0,0,0,0
Feature05577,1743,1605,649,669,5399,5464,2995,3208
Feature05578,8,11,6,10,17,14,22,21
Feature05579,20,13,16,23,70,73,121,93
Feature05580,126,93,78,82,390,382,372,505
Feature05581,331,289,249,274,959,1024,1029,1053
Feature05582,0,0,1,3,1,0,4,3
Feature05583,4,0,3,2,8,12,6,10
Feature05584,89,84,122,135,356,240,931,777
Feature05585,171,155,76,59,492,576,338,357
Feature05586,68,32,60,73,163,154,415,377
Feature05587,12,7,28,24,34,33,129,123
Feature05588,161,133,831,688,635,632,4544,4753
Feature05589,22,24,35,39,130,102,222,201
Feature05590,65,45,77,90,142,151,318,303
Feature05591,4,1,9,10,20,19,47,42
Feature05592,1022,782,1230,1207,3644,3778,6945,7231
Feature05593,295,252,213,241,747,750,815,679
Feature05594,3,1,1,0,3,3,6,3
Feature05595,11160,9773,7445,7195,35382,38033,36386,42691
Feature05596,35,39,23,43,114,98,97,129
Feature05597,1,1,0,0,3,2,0,1
Feature05598,5,3,14,22,18,11,74,20
Feature05599,299,251,398,460,1138,961,2597,2452
Feature05600,0,1,0,0,1,1,3,7
Feature05601,152,120,102,91,484,475,541,521
Feature05602,60,42,44,42,157,154,211,172
Feature05603,499,434,299,281,1304,1485,1004,1170
Feature05604,14,13,35,33,46,26,163,158
Feature05605,0,0,0,0,0,1,0,0
Feature05606,194,125,234,235,595,686,908,1004
Feature05607,339,270,99,105,1493,1450,576,670
Feature05608,272,236,337,423,1089,814,1450,1231
Feature05609,108,82,99,117,336,311,489,543
Feature05610,0,0,0,0,0,1,1,0
Feature05611,39,46,101,152,227,135,661,587
Feature05612,81,72,100,89,266,262,501,443
Feature05613,17,27,54,41,116,93,295,225
Feature05614,1,3,0,0,2,3,0,3
Feature05615,51,33,57,49,177,134,347,284
Feature05616,46,30,51,70,118,129,219,196
Feature05617,1153,1168,661,691,3739,4066,3408,3420
Feature05618,0,0,0,0,0,0,0,0
Feature05619,1,1,0,0,4,3,9,6
Feature05620,0,0,0,0,0,0,0,0
Feature05621,514,373,586,619,2086,1862,3609,3449
Feature05622,5026,4336,3125,3246,17403,16083,16276,18090
Feature05623,83,52,74,85,219,261,335,349
Feature05624,397,322,669,704,801,873,2489,1885
Feature05625,52,39,42,45,106,112,180,185
Feature05626,374,320,272,292,1225,1342,1277,1499
Feature05627,86,60,106,132,267,254,617,677
Feature05628,964,889,563,571,3095,3150,3090,2932
Feature05629,2,0,0,0,2,2,1,2
Feature05630,24,21,30,34,74,45,120,125
Feature05631,2,3,8,4,7,4,29,23
Feature05632,1287,983,821,758,5221,5625,5278,5595
Feature05633,102,81,76,93,312,273,432,430
Feature05634,10,11,2,2,47,49,7,17
Feature05635,289,261,564,596,861,901,2433,2161
Feature05636,400,384,209,219,1176,1508,926,862
Feature05637,0,0,0,0,0,1,0,0
Feature05638,1474,1193,1109,1137,5617,5421,6113,7049
Feature05639,0,0,0,0,0,0,0,0
Feature05640,96,65,106,127,337,334,618,551
Feature05641,1559,1296,1382,1495,5137,4938,6630,6655
Feature05642,436,439,569,615,1245,1303,1868,1924
Feature05643,135,127,132,108,389,429,434,428
Feature05644,537,405,353,394,1988,1715,1874,2096
Feature05645,303,316,288,283,872,989,1455,1433
Feature05646,1193,939,1116,1055,4051,4245,4970,5573
Feature05647,0,0,1,0,0,0,1,3
Feature05648,238,163,155,161,764,774,802,984
Feature05649,1,0,1,0,2,2,2,2
Feature05650,4,5,3,3,14,9,24,17
Feature05651,137,143,146,113,509,469,583,547
Feature05652,48,52,69,66,173,137,292,266
Feature05653,1,0,5,6,4,8,45,38
Feature05654,0,0,0,0,0,0,0,0
Feature05655,66,66,80,100,185,222,348,384
Feature05656,136,132,128,141,451,518,733,634
Feature05657,202,141,107,88,707,779,590,777
Feature05658,149,86,47,31,534,535,308,298
Feature05659,580,595,673,619,1577,1641,2152,2016
Feature05660,36,36,79,79,140,136,233,209
Feature05661,23,25,35,43,88,58,155,125
Feature05662,0,0,0,1,2,0,3,3
Feature05663,103,72,86,72,272,322,338,376
Feature05664,105,122,133,111,253,291,443,392
Feature05665,44,61,69,80,288,216,640,505
Feature05666,3,1,8,7,17,16,29,26
Feature05667,1254,1026,931,956,4292,4272,4141,4483
Feature05668,0,0,0,0,0,0,0,3
Feature05669,0,0,0,0,1,0,2,0
Feature05670,0,0,0,0,0,0,0,0
Feature05671,98,70,37,22,272,325,155,219
Feature05672,294,230,307,331,994,1008,1544,1791
Feature05673,267,214,163,178,913,920,800,960
Feature05674,381,318,449,562,1601,1267,2976,3013
Feature05675,0,0,0,0,0,0,0,0
Feature05676,531,379,448,984,1034,1360,2066,2431
Feature05677,189,153,125,125,560,607,589,546
Feature05678,63,36,80,90,187,174,478,429
Feature05679,17,26,33,25,63,56,91,74
Feature05680,60,46,44,64,181,169,292,291
Feature05681,4,2,15,13,14,6,92,96
Feature05682,0,0,0,1,4,5,6,6
Feature05683,71,85,85,84,257,183,382,328
Feature05684,13,20,24,37,54,48,121,102
Feature05685,65,71,116,148,149,143,405,315
Feature05686,149,138,161,185,649,614,808,817
Feature05687,12,12,37,17,11,4,281,162
Feature05688,14,11,7,10,78,69,53,29
Feature05689,8,2,1,1,18,27,8,3
Feature05690,2669,2825,4109,4721,9011,6357,14537,11993
Feature05691,33,25,32,33,46,62,115,74
Feature05692,57,51,49,43,160,140,279,216
Feature05693,32,33,27,57,157,134,298,201
Feature05694,118,104,124,93,458,485,754,824
Feature05695,587,431,564,630,1890,1829,2417,2602
Feature05696,196,141,86,87,753,777,559,500
Feature05697,276,211,253,285,963,1030,1497,1780
Feature05698,72,63,96,75,233,200,379,379
Feature05699,10,7,25,20,37,26,128,127
Feature05700,0,0,0,0,0,0,0,0
Feature05701,716,582,613,573,2460,2724,2550,2890
Feature05702,0,0,0,0,0,0,0,1
Feature05703,59,51,68,98,257,214,517,491
Feature05704,184,111,106,93,544,647,642,585
Feature05705,293,224,484,585,1092,968,2631,2512
Feature05706,5,2,0,3,4,16,4,5
Feature05707,0,0,0,0,0,0,0,0
Feature05708,0,0,0,0,0,0,0,0
Feature05709,956,755,665,633,3545,3449,3533,3970
Feature05710,175,171,323,272,568,590,1462,1316
Feature05711,130,127,125,166,383,401,620,618
Feature05712,10,8,8,11,31,22,43,47
Feature05713,0,0,0,0,0,0,0,1
Feature05714,34,31,81,64,99,85,321,326
Feature05715,52,56,5,3,145,171,39,52
Feature05716,75,66,95,89,212,198,390,311
Feature05717,4,6,1,1,16,20,3,1
Feature05718,0,0,0,0,0,3,0,6
Feature05719,56,42,52,54,153,163,203,245
Feature05720,66,53,60,60,198,221,313,345
Feature05721,0,0,1,0,0,0,0,0
Feature05722,52,50,121,108,228,186,624,526
Feature05723,110,120,98,118,363,321,432,405
Feature05724,19,13,11,15,58,35,85,66
Feature05725,0,0,0,0,0,0,0,0
Feature05726,308,244,298,348,989,995,1433,1533
Feature05727,72,73,50,73,369,384,531,514
Feature05728,2568,2065,1204,1079,10984,10875,8906,10312
Feature05729,172,134,125,143,480,475,378,384
Feature05730,41,27,51,51,131,88,204,192
Feature05731,799,594,518,572,2951,3178,3109,3702
Feature05732,0,0,0,0,0,0,0,0
Feature05733,89,69,41,57,335,303,360,398
Feature05734,540,455,407,423,1747,1815,1844,1920
Feature05735,58,39,89,98,215,216,487,460
Feature05736,90,66,232,222,292,214,575,532
Feature05737,1,0,3,2,8,5,15,8
Feature05738,276,238,295,236,976,1040,1120,1204
Feature05739,116,96,53,68,384,379,220,292
Feature05740,44,42,53,44,110,124,215,201
Feature05741,33,31,62,55,132,195,311,312
Feature05742,0,0,0,0,0,0,0,0
Feature05743,13,28,33,22,41,22,276,93
Feature05744,59,47,57,75,189,224,291,333
Feature05745,0,0,0,0,1,0,1,0
Feature05746,61,72,99,91,265,194,731,687
Feature05747,0,0,0,0,1,0,0,1
Feature05748,0,0,0,0,0,0,0,0
Feature05749,140,87,213,249,513,407,1059,1062
Feature05750,9,13,13,8,45,54,40,47
Feature05751,179,121,63,72,686,537,403,427
Feature05752,1354,1176,1901,2012,4651,4257,8662,8861
Feature05753,70,53,55,81,332,278,652,507
Feature05754,77,68,101,128,255,257,466,429
Feature05755,309,312,301,295,1090,819,1058,1034
Feature05756,146,125,128,140,568,485,744,785
Feature05757,1193,1096,596,678,3758,3777,3009,2972
Feature05758,0,0,0,0,1,1,0,0
Feature05759,21,39,78,50,90,102,251,226
Feature05760,0,0,0,0,0,0,0,0
Feature05761,4,3,9,4,38,31,41,19
Feature05762,7,12,1,3,32,20,13,18
Feature05763,0,0,0,0,0,0,0,0
Feature05764,0,1,0,0,4,3,8,5
Feature05765,1638,1281,2437,2709,6212,4552,10462,10043
Feature05766,9,8,43,23,30,18,127,133
Feature05767,95,68,40,55,342,306,262,275
Feature05768,530,533,589,603,1648,1655,2456,2285
Feature05769,0,0,1,0,0,1,0,0
Feature05770,448,474,283,278,1496,1493,1087,1160
Feature05771,391,353,188,179,1354,1534,884,928
Feature05772,311,281,363,409,934,1010,1397,1362
Feature05773,0,0,5,1,1,0,7,5
Feature05774,195,165,229,293,437,544,743,591
Feature05775,0,0,0,0,0,0,0,0
Feature05776,8,6,10,12,32,21,46,43
Feature05777,0,0,0,0,1,0,0,0
Feature05778,113,72,123,119,410,343,448,494
Feature05779,22,15,13,15,39,56,58,94
Feature05780,0,0,0,0,0,0,0,0
Feature05781,317,243,452,518,1053,907,2345,2448
Feature05782,60,49,63,54,188,146,226,275
Feature05783,1,0,6,5,2,3,27,15
Feature05784,15,11,3,1,47,49,28,37
Feature05785,24,30,23,26,72,64,107,111
Feature05786,23,21,54,75,67,112,225,248
Feature05787,0,0,0,0,0,0,2,0
Feature05788,119,141,132,155,412,389,675,606
Feature05789,383,409,335,319,1479,1221,1879,1616
Feature05790,175,170,680,843,561,441,2233,1748
Feature05791,142,111,131,111,561,445,618,643
Feature05792,135,119,73,77,429,470,314,343
Feature05793,65,62,57,58,283,288,333,368
Feature05794,26,12,4,2,57,47,19,15
Feature05795,151,139,97,91,365,398,381,400
Feature05796,86,78,94,86,306,294,461,493
Feature05797,0,0,0,0,0,0,0,0
Feature05798,5,1,13,9,15,10,74,78
Feature05799,0,0,0,0,0,0,0,0
Feature05800,182,137,279,369,566,538,1476,1381
Feature05801,0,0,0,0,0,2,0,0
Feature05802,135,111,31,38,388,405,160,192
Feature05803,270,195,182,211,805,937,944,1048
Feature05804,336,229,193,199,1225,1226,1377,1369
Feature05805,253,278,283,278,746,834,1141,1071
Feature05806,221,172,171,127,657,702,728,782
Feature05807,8,4,2,2,42,36,30,17
Feature05808,0,0,0,0,0,0,0,0
Feature05809,61,62,23,24,148,166,132,144
Feature05810,148,97,105,145,492,470,599,624
Feature05811,19,25,11,9,60,54,52,57
Feature05812,583,605,562,634,1663,1720,2328,2049
Feature05813,1230,1201,975,931,3938,3855,4130,4121
Feature05814,0,0,0,0,0,0,0,0
Feature05815,2212,1885,1999,2093,7611,7437,9018,9184
Feature05816,7,5,4,4,21,17,13,12
Feature05817,63,46,25,30,238,237,340,270
Feature05818,0,0,1,0,0,0,9,3
Feature05819,4,6,3,5,10,27,24,26
Feature05820,35,27,26,23,140,110,98,109
Feature05821,28,23,31,45,93,71,204,157
Feature05822,81,53,127,156,281,216,459,498
Feature05823,353,314,324,307,1179,1247,1445,1517
Feature05824,6,8,14,11,25,18,57,47
